,model,alpha,length,loc_error,num_traj,eduN,UPV-MAT,FCI,UCL,Erasmus MC,Anomalous Unicorns,DecBayComp,NOA,QuBI,DeepSPT,WUST ML B,WUST ML A,BIT,TSA
180,sbm,0.05,310,1.0,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.2777777777777778,0.6666666666666666,0.6111111111111112,0.2222222222222222,0.3888888888888889
181,sbm,0.05,310,2.0,16,0.8125,0.75,0.6875,0.625,0.6875,0.9375,0.6875,0.6875,0.6875,0.625,0.375,0.625,0.5,0.4375
182,sbm,0.05,310,10.0,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8421052631578947,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.42105263157894735,0.42105263157894735
183,sbm,0.25,310,1.0,25,0.88,0.88,0.92,0.92,0.8000000000000002,0.76,0.68,0.8399999999999999,0.8399999999999999,0.64,0.64,0.72,0.68,0.4000000000000001
184,sbm,0.25,310,2.0,21,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.23809523809523808,0.5714285714285714
185,sbm,0.25,310,10.0,16,0.875,0.875,0.875,0.8125,0.75,0.875,0.8125,0.9375,0.75,0.6875,0.6875,0.75,0.75,0.5
186,sbm,0.45,310,1.0,20,0.85,0.9500000000000001,0.75,0.8000000000000002,0.8000000000000002,0.9,0.75,0.75,0.75,0.7,0.65,0.65,0.3,0.3
187,sbm,0.45,310,2.0,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.6111111111111112,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.6111111111111112
188,sbm,0.45,310,10.0,24,0.875,0.9583333333333334,0.9583333333333334,0.875,0.875,0.875,0.75,0.7916666666666666,0.5833333333333334,0.5,0.625,0.5833333333333334,0.5,0.5833333333333334
189,sbm,0.6500000000000001,310,1.0,26,0.8461538461538461,0.7307692307692306,0.6538461538461539,0.7692307692307693,0.6923076923076923,0.5384615384615384,0.6538461538461539,0.6153846153846154,0.5384615384615384,0.46153846153846156,0.5,0.5769230769230769,0.19230769230769232,0.38461538461538464
190,sbm,0.6500000000000001,310,2.0,23,0.782608695652174,0.9130434782608695,0.9565217391304348,0.8260869565217391,0.9565217391304348,0.6521739130434783,0.7391304347826085,0.9130434782608695,0.6956521739130435,0.7391304347826085,0.6086956521739131,0.391304347826087,0.34782608695652173,0.4782608695652174
191,sbm,0.6500000000000001,310,10.0,25,0.88,0.8000000000000002,0.8399999999999999,0.88,0.8399999999999999,0.8000000000000002,0.68,0.72,0.52,0.52,0.32,0.24,0.44,0.48
192,sbm,0.8500000000000001,310,1.0,29,0.6896551724137931,0.7241379310344829,0.6206896551724138,0.6206896551724138,0.7241379310344829,0.7586206896551724,0.6206896551724138,0.6896551724137931,0.4482758620689655,0.5172413793103449,0.3793103448275862,0.41379310344827586,0.4827586206896552,0.2413793103448276
193,sbm,0.8500000000000001,310,2.0,17,0.8823529411764706,0.8823529411764706,0.7647058823529412,0.9411764705882353,0.7647058823529412,0.7058823529411765,0.6470588235294118,0.8235294117647058,0.5882352941176471,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.47058823529411764
194,sbm,0.8500000000000001,310,10.0,14,0.7857142857142857,0.6428571428571429,0.7857142857142857,0.7142857142857143,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.42857142857142855,0.5714285714285714,0.5,0.35714285714285715,0.21428571428571427,0.5
195,sbm,1.05,310,1.0,11,1.0,1.0,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.45454545454545453,0.5454545454545454,0.8181818181818182,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.09090909090909091
196,sbm,1.05,310,2.0,19,0.47368421052631576,0.5263157894736842,0.6842105263157895,0.5789473684210527,0.631578947368421,0.7894736842105263,0.5263157894736842,0.3684210526315789,0.5263157894736842,0.631578947368421,0.5263157894736842,0.42105263157894735,0.5789473684210527,0.5263157894736842
197,sbm,1.05,310,10.0,6,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,0.5
198,sbm,1.2500000000000002,310,1.0,15,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.8000000000000002,0.8000000000000002,0.8666666666666667,0.6,0.6666666666666666,0.6,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333
199,sbm,1.2500000000000002,310,2.0,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
200,sbm,1.2500000000000002,310,10.0,17,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8823529411764706
201,sbm,1.4500000000000002,310,1.0,24,0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.875,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25
202,sbm,1.4500000000000002,310,2.0,25,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.96,1.0,1.0,0.8399999999999999,0.8399999999999999,0.88,0.72
203,sbm,1.4500000000000002,310,10.0,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7222222222222222,0.9444444444444444,0.6111111111111112
204,sbm,1.6500000000000001,310,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,1.0,1.0,0.8000000000000002,0.8000000000000002,0.20000000000000004,0.6
205,sbm,1.6500000000000001,310,2.0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5833333333333334,1.0,0.6666666666666666
206,sbm,1.6500000000000001,310,10.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571
207,sbm,1.85,310,1.0,16,0.625,0.9375,0.9375,0.9375,0.875,1.0,0.8125,0.9375,0.625,0.9375,0.8125,0.4375,0.4375,0.4375
208,sbm,1.85,310,2.0,17,0.9411764705882353,1.0,1.0,0.9411764705882353,1.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.7647058823529412,0.7647058823529412,0.6470588235294118
209,sbm,1.85,310,10.0,7,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143
210,sbm,0.05,360,1.0,15,0.8000000000000002,0.8666666666666667,0.8000000000000002,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.6,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.6666666666666666
211,sbm,0.05,360,2.0,12,0.9166666666666666,0.75,0.75,0.9166666666666666,0.75,1.0,0.75,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5833333333333334
212,sbm,0.05,360,10.0,16,0.9375,0.875,0.875,0.9375,0.9375,0.8125,0.875,0.875,0.75,0.625,0.5625,0.8125,0.5625,0.5
213,sbm,0.25,360,1.0,17,0.7058823529411765,0.5882352941176471,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.4117647058823529,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.29411764705882354
214,sbm,0.25,360,2.0,23,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8695652173913043,0.8695652173913043,0.7391304347826085,0.782608695652174,0.9130434782608695,0.782608695652174,0.782608695652174,0.5652173913043478,0.7391304347826085,0.5217391304347826,0.4782608695652174
215,sbm,0.25,360,10.0,19,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,0.9473684210526315,0.8947368421052632,0.8421052631578947,0.5263157894736842,0.7368421052631579,0.6842105263157895,0.7368421052631579
216,sbm,0.45,360,1.0,18,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6111111111111112,0.4444444444444444
217,sbm,0.45,360,2.0,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.6153846153846154
218,sbm,0.45,360,10.0,23,0.9130434782608695,0.9130434782608695,0.8695652173913043,0.9130434782608695,0.8260869565217391,0.782608695652174,0.782608695652174,0.782608695652174,0.6956521739130435,0.7391304347826085,0.4782608695652174,0.4782608695652174,0.5217391304347826,0.7391304347826085
219,sbm,0.6500000000000001,360,1.0,22,0.8636363636363636,0.7727272727272727,0.6818181818181818,0.7727272727272727,0.9090909090909091,0.5454545454545454,0.7272727272727273,0.8636363636363636,0.5909090909090909,0.6818181818181818,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.22727272727272727
220,sbm,0.6500000000000001,360,2.0,25,0.88,0.8399999999999999,0.8000000000000002,0.8399999999999999,0.72,0.76,0.72,0.76,0.68,0.56,0.52,0.52,0.52,0.52
221,sbm,0.6500000000000001,360,10.0,17,0.8823529411764706,0.8235294117647058,0.7647058823529412,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.5294117647058824,0.5294117647058824,0.7058823529411765,0.4117647058823529,0.11764705882352941,0.4117647058823529
222,sbm,0.8500000000000001,360,1.0,23,0.6521739130434783,0.6956521739130435,0.6521739130434783,0.7391304347826085,0.782608695652174,0.5652173913043478,0.391304347826087,0.5217391304347826,0.34782608695652173,0.391304347826087,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.17391304347826086
223,sbm,0.8500000000000001,360,2.0,17,1.0,1.0,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.23529411764705882
