,model,alpha,length,loc_error,num_traj,eduN,UCL,FCI,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT,DecBayComp,Valencian Karatekas
199,sbm,0.8500000000000001,160,10.0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
200,sbm,1.05,160,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
201,sbm,1.05,160,1.5,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
202,sbm,1.05,160,2.0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
203,sbm,1.05,160,5.5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0
204,sbm,1.05,160,6.0,7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.0
205,sbm,1.05,160,10.0,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0
206,sbm,1.2500000000000002,160,1.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333
207,sbm,1.2500000000000002,160,1.5,6,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,0.0
208,sbm,1.2500000000000002,160,2.0,2,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0
209,sbm,1.2500000000000002,160,5.5,5,0.8000000000000002,1.0,0.8000000000000002,0.8000000000000002,0.6,0.6,0.8000000000000002,1.0,0.0,0.20000000000000004
210,sbm,1.2500000000000002,160,6.0,3,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333
211,sbm,1.2500000000000002,160,10.0,4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.5
212,sbm,1.4500000000000002,160,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
213,sbm,1.4500000000000002,160,1.5,7,0.5714285714285714,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.14285714285714285
214,sbm,1.4500000000000002,160,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
215,sbm,1.4500000000000002,160,5.5,8,1.0,1.0,1.0,1.0,1.0,0.75,0.875,1.0,0.0,0.125
216,sbm,1.4500000000000002,160,6.0,9,1.0,1.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.5555555555555556,1.0,0.2222222222222222,0.4444444444444444
217,sbm,1.4500000000000002,160,10.0,4,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.0,0.5
218,sbm,1.6500000000000001,160,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
219,sbm,1.6500000000000001,160,1.5,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
220,sbm,1.6500000000000001,160,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
221,sbm,1.6500000000000001,160,5.5,4,1.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.0,0.0
222,sbm,1.6500000000000001,160,6.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666
223,sbm,1.6500000000000001,160,10.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
224,sbm,1.85,160,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
225,sbm,1.85,160,1.5,3,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333
