,model,alpha,length,loc_error,num_traj,UCL,eduN,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT
951,sbm,0.25,660,1.67,4,1.0,1.0,0.75,1.0,1.0,0.5,0.25
952,sbm,0.25,660,2.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
953,sbm,0.25,660,4.0,4,1.0,1.0,1.0,0.5,0.75,0.75,0.5
954,sbm,0.25,660,4.33,5,0.8000000000000002,1.0,1.0,1.0,1.0,1.0,0.6
955,sbm,0.25,660,4.67,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
956,sbm,0.25,660,7.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
957,sbm,0.25,660,10.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
958,sbm,0.45,660,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
959,sbm,0.45,660,1.33,5,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,0.8000000000000002
960,sbm,0.45,660,1.67,2,1.0,1.0,1.0,0.5,1.0,0.5,0.0
961,sbm,0.45,660,4.0,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
962,sbm,0.45,660,4.33,4,0.75,0.75,0.75,0.75,0.25,0.25,0.25
963,sbm,0.45,660,4.67,4,0.75,0.75,1.0,0.75,0.75,0.75,0.75
964,sbm,0.45,660,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
965,sbm,0.45,660,7.33,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5
966,sbm,0.45,660,10.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
967,sbm,0.6500000000000001,660,1.0,2,1.0,0.5,0.5,1.0,0.5,0.5,0.0
968,sbm,0.6500000000000001,660,1.33,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
969,sbm,0.6500000000000001,660,1.67,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0
970,sbm,0.6500000000000001,660,4.33,4,1.0,1.0,1.0,1.0,1.0,0.5,0.25
971,sbm,0.6500000000000001,660,7.0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
972,sbm,0.6500000000000001,660,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
973,sbm,0.6500000000000001,660,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
974,sbm,0.8500000000000001,660,1.0,2,1.0,0.5,1.0,1.0,1.0,0.5,0.5
975,sbm,0.8500000000000001,660,1.33,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
976,sbm,0.8500000000000001,660,1.67,3,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0
977,sbm,0.8500000000000001,660,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
978,sbm,0.8500000000000001,660,4.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5
979,sbm,0.8500000000000001,660,4.33,8,0.875,0.875,0.625,0.875,0.75,0.5,0.25
980,sbm,0.8500000000000001,660,4.67,2,1.0,1.0,1.0,1.0,0.5,1.0,0.5
981,sbm,0.8500000000000001,660,7.0,2,0.5,0.5,0.5,1.0,0.5,0.0,0.0
982,sbm,0.8500000000000001,660,7.33,3,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
983,sbm,0.8500000000000001,660,10.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
984,sbm,1.05,660,1.33,2,0.5,1.0,1.0,0.5,0.5,0.5,0.5
985,sbm,1.05,660,4.0,2,0.5,1.0,0.5,0.5,0.5,1.0,0.0
986,sbm,1.05,660,4.33,5,0.8000000000000002,0.8000000000000002,1.0,0.6,0.8000000000000002,0.6,0.4000000000000001
987,sbm,1.05,660,4.67,2,1.0,1.0,1.0,1.0,0.5,0.5,1.0
988,sbm,1.05,660,7.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
989,sbm,1.05,660,7.33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,sbm,1.2500000000000002,660,1.33,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
991,sbm,1.2500000000000002,660,1.67,2,1.0,1.0,1.0,1.0,1.0,0.5,0.0
992,sbm,1.2500000000000002,660,4.0,2,1.0,1.0,1.0,1.0,0.5,1.0,1.0
993,sbm,1.2500000000000002,660,4.33,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
994,sbm,1.2500000000000002,660,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
995,sbm,1.2500000000000002,660,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
996,sbm,1.2500000000000002,660,10.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
997,sbm,1.4500000000000002,660,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
998,sbm,1.4500000000000002,660,1.33,2,1.0,1.0,1.0,0.5,1.0,1.0,0.5
999,sbm,1.4500000000000002,660,1.67,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1000,sbm,1.4500000000000002,660,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1001,sbm,1.4500000000000002,660,4.33,5,1.0,1.0,1.0,1.0,1.0,0.6,1.0
1002,sbm,1.4500000000000002,660,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1003,sbm,1.4500000000000002,660,7.0,4,1.0,1.0,1.0,1.0,0.75,0.25,1.0
1004,sbm,1.4500000000000002,660,7.33,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1005,sbm,1.4500000000000002,660,10.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1006,sbm,1.6500000000000001,660,1.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1007,sbm,1.6500000000000001,660,1.67,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1008,sbm,1.6500000000000001,660,4.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1009,sbm,1.6500000000000001,660,4.33,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1010,sbm,1.6500000000000001,660,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1011,sbm,1.6500000000000001,660,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1012,sbm,1.6500000000000001,660,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1013,sbm,1.6500000000000001,660,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1014,sbm,1.85,660,1.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1015,sbm,1.85,660,1.67,4,1.0,1.0,1.0,1.0,1.0,0.75,0.5
1016,sbm,1.85,660,4.33,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
1017,sbm,1.85,660,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1018,sbm,1.85,660,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
